,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
2870,Iuri Alcantara,Iliarde Santos,Red,Bantamweight,3,Southpaw,32.0,175.26,180.34,Orthodox,32.0,165.1,167.64
2871,Fabio Maldonado,Roger Hollett,Red,Light Heavyweight,3,Orthodox,33.0,185.42,190.5,Orthodox,34.0,180.34,177.8
2872,John Lineker,Azamat Gashimov,Red,Flyweight,3,Orthodox,22.0,160.02,170.18,Orthodox,23.0,167.64,167.64
2873,Jussier Formiga,Chris Cariaso,Red,Flyweight,3,Orthodox,28.0,165.1,170.18,Southpaw,31.0,160.02,160.02
2874,Lucas Martins,Jeremy Larsen,Red,Lightweight,3,Southpaw,24.0,182.88,182.88,Orthodox,28.0,177.8,177.8
2875,Jon Jones,Chael Sonnen,Red,Light Heavyweight,5,Orthodox,25.0,193.04,213.36,Southpaw,36.0,185.42,187.96
2876,Michael Bisping,Alan Belcher,Red,Middleweight,3,Orthodox,34.0,185.42,190.5,Orthodox,29.0,187.96,185.42
2877,Roy Nelson,Cheick Kongo,Red,Heavyweight,3,Orthodox,36.0,182.88,182.88,Orthodox,37.0,193.04,208.28
2878,Phil Davis,Vinny Magalhaes,Red,Light Heavyweight,3,Orthodox,28.0,187.96,200.66,Orthodox,28.0,190.5,200.66
2880,Rustam Khabilov,Yancy Medeiros,Red,Lightweight,3,Orthodox,26.0,172.72,185.42,Orthodox,25.0,177.8,190.5
2881,Gian Villante,Ovince Saint Preux,Blue,Light Heavyweight,3,Orthodox,27.0,190.5,193.04,Southpaw,30.0,190.5,203.2
2882,Sara McMann,Sheila Gaff,Red,Women's Bantamweight,3,Orthodox,32.0,167.64,167.64,Orthodox,23.0,165.1,157.48
2883,Bryan Caraway,Johnny Bedford,Red,Bantamweight,3,Orthodox,28.0,172.72,172.72,Orthodox,30.0,177.8,180.34
2884,Leonard Garcia,Cody McKenzie,Blue,Featherweight,3,Orthodox,33.0,177.8,175.26,Switch,25.0,182.88,182.88
2885,Steven Siler,Kurt Holobaugh,Red,Featherweight,3,Orthodox,26.0,180.34,177.8,Orthodox,26.0,180.34,177.8
2886,Benson Henderson,Gilbert Melendez,Red,Lightweight,5,Southpaw,29.0,175.26,177.8,Orthodox,31.0,175.26,185.42
2887,Frank Mir,Daniel Cormier,Blue,Heavyweight,3,Southpaw,33.0,190.5,200.66,Orthodox,34.0,180.34,182.88
2888,Nate Diaz,Josh Thomson,Blue,Lightweight,3,Southpaw,28.0,182.88,193.04,Orthodox,34.0,177.8,180.34
2889,Matt Brown,Jordan Mein,Red,Welterweight,3,Orthodox,32.0,182.88,190.5,Orthodox,23.0,182.88,185.42
2890,Chad Mendes,Darren Elkins,Red,Featherweight,3,Orthodox,27.0,167.64,167.64,Orthodox,28.0,177.8,180.34
2891,Francis Carmont,Lorenz Larkin,Red,Middleweight,3,Orthodox,31.0,190.5,198.12,Orthodox,26.0,180.34,182.88
2892,Ramsey Nijem,Myles Jury,Blue,Lightweight,3,Orthodox,25.0,180.34,190.5,Orthodox,24.0,177.8,185.42
2893,Joseph Benavidez,Darren Uyenoyama,Red,Flyweight,3,Southpaw,28.0,162.56,165.1,Orthodox,33.0,167.64,162.56
2894,Tim Means,Jorge Masvidal,Blue,Lightweight,3,Orthodox,29.0,187.96,190.5,Orthodox,28.0,180.34,187.96
2895,TJ Dillashaw,Hugo Viana,Red,Bantamweight,3,Orthodox,27.0,167.64,170.18,Orthodox,30.0,167.64,170.18
2896,Anthony Njokuani,Roger Bowling,Red,Lightweight,3,Orthodox,33.0,185.42,190.5,Orthodox,30.0,175.26,172.72
2897,Clifford Starks,Yoel Romero,Blue,Middleweight,3,Orthodox,31.0,182.88,195.58,Southpaw,35.0,182.88,185.42
2898,Urijah Faber,Scott Jorgensen,Red,Bantamweight,5,Orthodox,33.0,167.64,170.18,Orthodox,30.0,165.1,167.64
2899,Uriah Hall,Kelvin Gastelum,Blue,Middleweight,3,Orthodox,28.0,182.88,200.66,Southpaw,21.0,175.26,180.34
2900,Miesha Tate,Cat Zingano,Blue,Women's Bantamweight,3,Orthodox,26.0,167.64,165.1,Southpaw,30.0,167.64,172.72
2901,Travis Browne,Gabriel Gonzaga,Red,Heavyweight,3,Orthodox,30.0,198.12,200.66,Orthodox,33.0,187.96,193.04
2902,Bubba McDaniel,Gilbert Smith,Red,Middleweight,3,Southpaw,29.0,190.5,190.5,Southpaw,31.0,175.26,190.5
2903,Josh Samman,Kevin Casey,Red,Middleweight,3,Orthodox,25.0,190.5,200.66,Southpaw,31.0,180.34,195.58
2904,Luke Barnatt,Collin Hart,Red,Middleweight,3,Orthodox,24.0,198.12,195.58,Orthodox,23.0,185.42,193.04
2905,Dylan Andrews,Jimmy Quinlan,Red,Middleweight,3,Switch,33.0,185.42,185.42,Orthodox,26.0,182.88,182.88
2906,Bristol Marunde,Clint Hester,Blue,Middleweight,3,Orthodox,30.0,185.42,180.34,Orthodox,26.0,187.96,195.58
2907,Cole Miller,Bart Palaszewski,Red,Featherweight,3,Orthodox,28.0,185.42,187.96,Orthodox,29.0,175.26,177.8
2908,Sam Sicilia,Maximo Blanco,Blue,Featherweight,3,Orthodox,27.0,172.72,170.18,Orthodox,29.0,172.72,180.34
2909,Justin Lawrence,Daniel Pineda,Blue,Featherweight,3,Orthodox,22.0,172.72,170.18,Orthodox,27.0,170.18,175.26
2910,Gegard Mousasi,Ilir Latifi,Red,Light Heavyweight,3,Orthodox,27.0,187.96,193.04,Orthodox,29.0,177.8,185.42
2911,Ryan Couture,Ross Pearson,Blue,Lightweight,3,Orthodox,30.0,177.8,190.5,Orthodox,28.0,172.72,175.26
2912,Matt Mitrione,Philip De Fries,Red,Heavyweight,3,Switch,34.0,190.5,200.66,Orthodox,26.0,195.58,208.28
2913,Brad Pickett,Mike Easton,Red,Bantamweight,3,Orthodox,34.0,167.64,172.72,Southpaw,29.0,167.64,177.8
2914,Diego Brandao,Pablo Garza,Red,Featherweight,3,Orthodox,25.0,170.18,172.72,Orthodox,29.0,185.42,185.42
2915,Akira Corassani,Robert Peralta,Red,Featherweight,3,Orthodox,30.0,172.72,172.72,Orthodox,27.0,172.72,180.34
2916,Reza Madadi,Michael Johnson,Red,Lightweight,3,Orthodox,34.0,180.34,182.88,Southpaw,26.0,177.8,185.42
2917,Tor Troeng,Adam Cella,Red,Middleweight,3,Orthodox,30.0,187.96,195.58,,27.0,187.96,198.12
2918,Chris Spang,Adlan Amagov,Blue,Welterweight,3,Orthodox,25.0,187.96,,Orthodox,26.0,187.96,193.04
2919,Marcus Brimage,Conor McGregor,Blue,Featherweight,3,Southpaw,28.0,162.56,180.34,Southpaw,24.0,175.26,187.96
2920,Benny Alloway,Ryan LaFlare,Blue,Welterweight,3,Orthodox,32.0,180.34,190.5,Southpaw,29.0,185.42,187.96
2921,Michael Kuiper,Tom Lawlor,Blue,Middleweight,3,Orthodox,23.0,182.88,185.42,Southpaw,29.0,182.88,187.96
2922,Papy Abedi,Besam Yousef,Red,Welterweight,3,Southpaw,34.0,180.34,187.96,Orthodox,28.0,180.34,180.34
2923,Georges St-Pierre,Nick Diaz,Red,Welterweight,5,Orthodox,31.0,180.34,193.04,Southpaw,29.0,185.42,193.04
2924,Carlos Condit,Johny Hendricks,Blue,Welterweight,3,Orthodox,28.0,187.96,190.5,Southpaw,29.0,175.26,175.26
2925,Jake Ellenberger,Nate Marquardt,Red,Welterweight,3,Orthodox,27.0,175.26,180.34,Orthodox,33.0,182.88,187.96
2926,Nick Ring,Chris Camozzi,Blue,Middleweight,3,Southpaw,34.0,182.88,187.96,Orthodox,26.0,187.96,193.04
2927,Mike Ricci,Colin Fletcher,Red,Lightweight,3,Southpaw,26.0,182.88,195.58,Orthodox,30.0,187.96,198.12
2928,Patrick Cote,Bobby Voelker,Red,Welterweight,3,Orthodox,33.0,180.34,180.34,Orthodox,33.0,182.88,190.5
2929,Antonio Carvalho,Darren Elkins,Blue,Featherweight,3,Orthodox,33.0,175.26,172.72,Orthodox,28.0,177.8,180.34
2930,Dan Miller,Jordan Mein,Blue,Welterweight,3,Orthodox,31.0,185.42,187.96,Orthodox,23.0,182.88,185.42
2931,John Makdessi,Daron Cruickshank,Red,Lightweight,3,Orthodox,27.0,172.72,172.72,Switch,27.0,172.72,182.88
2932,Rick Story,Quinn Mulhern,Red,Welterweight,3,Southpaw,28.0,175.26,180.34,Orthodox,28.0,190.5,193.04
2933,TJ Dillashaw,Issei Tamura,Red,Bantamweight,3,Orthodox,27.0,167.64,170.18,Orthodox,29.0,165.1,160.02
2934,George Roop,Reuben Duran,Red,Bantamweight,3,Orthodox,31.0,185.42,182.88,Orthodox,29.0,170.18,175.26
2935,Wanderlei Silva,Brian Stann,Red,Light Heavyweight,5,Orthodox,36.0,180.34,187.96,Orthodox,32.0,185.42,187.96
2936,Stefan Struve,Mark Hunt,Blue,Heavyweight,3,Orthodox,25.0,210.82,213.36,Orthodox,38.0,177.8,182.88
2937,Takanori Gomi,Diego Sanchez,Blue,Lightweight,3,Southpaw,34.0,170.18,177.8,Southpaw,31.0,177.8,182.88
2938,Yushin Okami,Hector Lombard,Red,Middleweight,3,Southpaw,31.0,187.96,190.5,Southpaw,35.0,175.26,180.34
2939,Mizuto Hirota,Rani Yahya,Blue,Featherweight,3,Orthodox,31.0,170.18,170.18,Orthodox,28.0,167.64,170.18
2940,Dong Hyun Kim,Siyar Bahadurzada,Red,Welterweight,3,Southpaw,31.0,187.96,193.04,Orthodox,28.0,180.34,185.42
2941,Riki Fukuda,Brad Tavares,Blue,Middleweight,3,Southpaw,32.0,182.88,185.42,Orthodox,25.0,185.42,187.96
2942,Takeya Mizugaki,Bryan Caraway,Red,Bantamweight,3,Orthodox,29.0,170.18,172.72,Orthodox,28.0,172.72,172.72
2943,Cristiano Marcello,Kazuki Tokudome,Blue,Lightweight,3,Orthodox,35.0,175.26,182.88,Southpaw,25.0,180.34,185.42
2945,Marcelo Guimaraes,Hyun Gyu Lim,Blue,Welterweight,3,Orthodox,29.0,182.88,185.42,Orthodox,28.0,190.5,195.58
2946,Ronda Rousey,Liz Carmouche,Red,Women's Bantamweight,5,Orthodox,26.0,170.18,172.72,Orthodox,29.0,167.64,167.64
2947,Lyoto Machida,Dan Henderson,Red,Light Heavyweight,3,Southpaw,34.0,185.42,187.96,Orthodox,42.0,180.34,187.96
2948,Urijah Faber,Ivan Menjivar,Red,Bantamweight,3,Orthodox,33.0,167.64,170.18,Orthodox,30.0,167.64,162.56
2949,Court McGee,Josh Neer,Red,Welterweight,3,Orthodox,28.0,180.34,190.5,Orthodox,29.0,180.34,182.88
2950,Josh Koscheck,Robbie Lawler,Blue,Welterweight,3,Orthodox,35.0,177.8,185.42,Southpaw,30.0,180.34,187.96
2951,Brendan Schaub,Lavar Johnson,Red,Heavyweight,3,Orthodox,29.0,193.04,198.12,Orthodox,35.0,193.04,208.28
2952,Michael Chiesa,Anton Kuivanen,Red,Lightweight,3,Southpaw,25.0,185.42,190.5,Orthodox,28.0,172.72,182.88
2953,Dennis Bermudez,Matt Grice,Red,Featherweight,3,Orthodox,26.0,167.64,167.64,Orthodox,31.0,172.72,177.8
2954,Sam Stout,Caros Fodor,Red,Lightweight,3,Orthodox,28.0,175.26,177.8,Orthodox,29.0,175.26,193.04
2955,Kenny Robertson,Brock Jardine,Red,Welterweight,3,Orthodox,29.0,177.8,187.96,Orthodox,27.0,180.34,185.42
2956,Jon Manley,Neil Magny,Blue,Welterweight,3,Orthodox,26.0,185.42,190.5,Orthodox,25.0,190.5,203.2
2957,Nah-Shon Burrell,Yuri Villefort,Red,Welterweight,3,Orthodox,23.0,180.34,185.42,Orthodox,21.0,182.88,185.42
2958,Renan Barao,Michael McDonald,Red,Bantamweight,5,Orthodox,26.0,167.64,177.8,Orthodox,22.0,175.26,177.8
2959,Cub Swanson,Dustin Poirier,Red,Featherweight,3,Orthodox,29.0,172.72,177.8,Southpaw,24.0,175.26,182.88
2960,Jimi Manuwa,Cyrille Diabate,Red,Light Heavyweight,3,Orthodox,32.0,185.42,200.66,Southpaw,39.0,198.12,205.74
2961,Gunnar Nelson,Jorge Santiago,Red,Welterweight,3,Switch,24.0,180.34,182.88,Orthodox,32.0,185.42,187.96
2962,James Te Huna,Ryan Jimmo,Red,Light Heavyweight,3,Orthodox,31.0,187.96,190.5,Orthodox,31.0,185.42,185.42
2964,Terry Etim,Renee Forte,Blue,Lightweight,3,Orthodox,27.0,185.42,185.42,Orthodox,25.0,170.18,180.34
2965,Paul Sass,Danny Castillo,Blue,Lightweight,3,Orthodox,24.0,182.88,185.42,Orthodox,33.0,175.26,180.34
2966,Andy Ogle,Josh Grispi,Red,Featherweight,3,Orthodox,24.0,172.72,175.26,Orthodox,24.0,180.34,187.96
2967,Tom Watson,Stanislav Nedkov,Red,Middleweight,3,Orthodox,30.0,185.42,185.42,Orthodox,31.0,180.34,180.34
2968,Vaughan Lee,Motonobu Tezuka,Red,Bantamweight,3,Orthodox,30.0,167.64,167.64,Southpaw,25.0,170.18,167.64
2969,Phil Harris,Ulysses Gomez,Red,Flyweight,3,Orthodox,29.0,162.56,162.56,Orthodox,29.0,167.64,167.64
2970,Jose Aldo,Frankie Edgar,Red,Featherweight,5,Orthodox,26.0,170.18,177.8,Orthodox,31.0,167.64,172.72
2971,Rashad Evans,Rogerio Nogueira,Blue,Light Heavyweight,3,Orthodox,33.0,182.88,190.5,Southpaw,36.0,187.96,190.5
2972,Alistair Overeem,Antonio Silva,Blue,Heavyweight,3,Orthodox,32.0,193.04,203.2,Orthodox,33.0,193.04,203.2
2973,Jon Fitch,Demian Maia,Blue,Welterweight,3,Orthodox,34.0,182.88,193.04,Southpaw,35.0,185.42,182.88
2974,Joseph Benavidez,Ian McCall,Red,Flyweight,3,Southpaw,28.0,162.56,165.1,Orthodox,28.0,165.1,162.56
2975,Gleison Tibau,Evan Dunham,Blue,Lightweight,3,Southpaw,29.0,177.8,180.34,Southpaw,31.0,177.8,177.8
2976,Tyron Woodley,Jay Hieron,Red,Welterweight,3,Orthodox,30.0,175.26,187.96,Orthodox,36.0,182.88,190.5
2977,Jacob Volkmann,Bobby Green,Blue,Lightweight,3,Southpaw,32.0,175.26,180.34,Orthodox,26.0,177.8,180.34
2978,Yves Edwards,Isaac Vallie-Flagg,Blue,Lightweight,3,Southpaw,36.0,175.26,185.42,Orthodox,34.0,172.72,172.72
2979,Chico Camus,Dustin Kimura,Blue,Bantamweight,3,Orthodox,28.0,167.64,167.64,Orthodox,23.0,170.18,180.34
2980,Edwin Figueroa,Francisco Rivera,Blue,Bantamweight,3,Orthodox,28.0,170.18,175.26,Orthodox,31.0,172.72,172.72
2981,Demetrious Johnson,John Dodson,Red,Flyweight,5,Orthodox,26.0,160.02,167.64,Orthodox,28.0,160.02,167.64
2982,Rampage Jackson,Glover Teixeira,Blue,Light Heavyweight,3,Orthodox,34.0,185.42,185.42,Orthodox,33.0,187.96,193.04
2983,Anthony Pettis,Donald Cerrone,Red,Lightweight,3,Orthodox,25.0,177.8,182.88,Orthodox,29.0,185.42,185.42
2984,Erik Koch,Ricardo Lamas,Blue,Featherweight,3,Southpaw,24.0,177.8,180.34,Orthodox,30.0,172.72,180.34
2985,TJ Grant,Matt Wiman,Red,Lightweight,3,Orthodox,28.0,177.8,182.88,Orthodox,29.0,177.8,172.72
2986,Clay Guida,Hatsu Hioki,Red,Featherweight,3,Orthodox,31.0,170.18,177.8,Orthodox,29.0,180.34,177.8
2987,Mike Stumpf,Pascal Krauss,Blue,Welterweight,3,,26.0,177.8,180.34,Orthodox,25.0,185.42,182.88
2988,Ryan Bader,Vladimir Matyushenko,Red,Light Heavyweight,3,Orthodox,29.0,187.96,187.96,Orthodox,42.0,182.88,187.96
2989,Mike Russow,Shawn Jordan,Blue,Heavyweight,3,Orthodox,36.0,185.42,185.42,Southpaw,28.0,182.88,190.5
2990,Rafael Natal,Sean Spencer,Red,Middleweight,3,Orthodox,30.0,182.88,193.04,,25.0,177.8,190.5
2991,Simeon Thoresen,David Mitchell,Blue,Welterweight,3,Orthodox,28.0,185.42,200.66,Orthodox,33.0,182.88,193.04
2992,Vitor Belfort,Michael Bisping,Red,Middleweight,5,Southpaw,35.0,182.88,187.96,Orthodox,33.0,185.42,190.5
2993,Daniel Sarafian,CB Dollaway,Blue,Middleweight,3,Orthodox,30.0,175.26,185.42,Orthodox,29.0,187.96,193.04
2994,Gabriel Gonzaga,Ben Rothwell,Red,Heavyweight,3,Orthodox,33.0,187.96,193.04,Orthodox,31.0,193.04,198.12
2995,Thiago Tavares,Khabib Nurmagomedov,Blue,Lightweight,3,Orthodox,28.0,170.18,172.72,Orthodox,24.0,177.8,177.8
2996,Godofredo Pepey,Milton Vieira,Red,Featherweight,3,Orthodox,25.0,170.18,185.42,Orthodox,34.0,182.88,182.88
2997,Ronny Markes,Andrew Craig,Red,Middleweight,3,Orthodox,24.0,185.42,190.5,Orthodox,27.0,185.42,193.04
2998,Diego Nunes,Nik Lentz,Blue,Featherweight,3,Orthodox,30.0,167.64,170.18,Orthodox,28.0,172.72,172.72
2999,Edson Barboza,Lucas Martins,Red,Lightweight,3,Orthodox,26.0,180.34,190.5,Southpaw,24.0,182.88,182.88
3001,Wagner Prado,Ildemar Alcantara,Blue,Light Heavyweight,3,Southpaw,26.0,182.88,187.96,Orthodox,30.0,187.96,198.12
3002,Francisco Trinaldo,CJ Keith,Red,Lightweight,3,Southpaw,34.0,175.26,177.8,Orthodox,26.0,182.88,
3003,Junior Dos Santos,Cain Velasquez,Blue,Heavyweight,5,Orthodox,28.0,193.04,195.58,Orthodox,30.0,185.42,195.58
3004,Jim Miller,Joe Lauzon,Red,Lightweight,3,Southpaw,29.0,172.72,180.34,Orthodox,28.0,177.8,180.34
3005,Tim Boetsch,Costas Philippou,Blue,Middleweight,3,Orthodox,31.0,182.88,187.96,Orthodox,33.0,180.34,185.42
3006,Yushin Okami,Alan Belcher,Red,Middleweight,3,Southpaw,31.0,187.96,190.5,Orthodox,28.0,187.96,185.42
3007,Chris Leben,Derek Brunson,Blue,Middleweight,3,Southpaw,32.0,180.34,187.96,Southpaw,28.0,185.42,195.58
3008,Brad Pickett,Eddie Wineland,Blue,Bantamweight,3,Orthodox,34.0,167.64,172.72,Orthodox,28.0,170.18,175.26
3009,Erik Perez,Byron Bloodworth,Red,Bantamweight,3,Orthodox,23.0,172.72,172.72,Orthodox,29.0,172.72,175.26
3010,Melvin Guillard,Jamie Varner,Blue,Lightweight,3,Orthodox,29.0,175.26,172.72,Orthodox,28.0,172.72,182.88
3011,Michael Johnson,Myles Jury,Blue,Lightweight,3,Southpaw,26.0,177.8,185.42,Orthodox,24.0,177.8,185.42
3012,Philip De Fries,Todd Duffee,Blue,Heavyweight,3,Orthodox,26.0,195.58,208.28,Orthodox,27.0,190.5,200.66
3013,Leonard Garcia,Max Holloway,Blue,Featherweight,3,Orthodox,33.0,177.8,175.26,Orthodox,21.0,180.34,175.26
3014,Chris Cariaso,John Moraga,Blue,Flyweight,3,Southpaw,31.0,160.02,160.02,Orthodox,28.0,167.64,167.64
3015,Roy Nelson,Matt Mitrione,Red,Heavyweight,5,Orthodox,36.0,182.88,182.88,Switch,34.0,190.5,200.66
3016,Colton Smith,Mike Ricci,Red,Welterweight,4,Orthodox,25.0,182.88,180.34,Southpaw,26.0,182.88,195.58
3017,Pat Barry,Shane del Rosario,Red,Heavyweight,3,Orthodox,33.0,180.34,187.96,Southpaw,29.0,193.04,200.66
3018,Dustin Poirier,Jonathan Brookins,Red,Featherweight,3,Southpaw,23.0,175.26,182.88,Southpaw,27.0,182.88,185.42
3019,Mike Pyle,James Head,Red,Welterweight,3,Orthodox,37.0,182.88,187.96,Orthodox,28.0,185.42,185.42
3020,Johnny Bedford,Marcos Vinicius,Red,Bantamweight,3,Orthodox,29.0,177.8,180.34,Orthodox,33.0,175.26,177.8
3021,Vinc Pichel,Rustam Khabilov,Blue,Lightweight,3,Orthodox,30.0,177.8,182.88,Orthodox,26.0,172.72,185.42
3022,TJ Waldburger,Nick Catone,Red,Welterweight,3,Orthodox,24.0,180.34,190.5,Southpaw,31.0,182.88,182.88
3023,Reuben Duran,Hugo Viana,Blue,Bantamweight,3,Orthodox,29.0,170.18,175.26,Orthodox,30.0,167.64,170.18
3024,Mike Rio,John Cofer,Red,Lightweight,3,Orthodox,31.0,177.8,180.34,Southpaw,28.0,175.26,185.42
3025,Jared Papazian,Tim Elliott,Blue,Flyweight,3,Southpaw,24.0,172.72,170.18,Southpaw,25.0,170.18,167.64
3026,George Sotiropoulos,Ross Pearson,Blue,Lightweight,5,Orthodox,35.0,177.8,180.34,Orthodox,28.0,172.72,175.26
3027,Robert Whittaker,Bradley Scott,Red,Welterweight,3,Orthodox,21.0,182.88,185.42,,23.0,185.42,193.04
3028,Colin Fletcher,Norman Parke,Blue,Lightweight,3,Orthodox,29.0,187.96,198.12,,25.0,180.34,177.8
3029,Hector Lombard,Rousimar Palhares,Red,Middleweight,3,Southpaw,34.0,175.26,180.34,Orthodox,32.0,172.72,180.34
3030,Chad Mendes,Yaotzin Meza,Red,Featherweight,3,Orthodox,27.0,167.64,167.64,Orthodox,31.0,175.26,187.96
3032,Mike Pierce,Seth Baczynski,Red,Welterweight,3,Orthodox,32.0,172.72,177.8,Orthodox,31.0,190.5,187.96
3033,Benny Alloway,Manuel Rodriguez,Red,Welterweight,3,Orthodox,31.0,180.34,190.5,Orthodox,27.0,175.26,172.72
3034,Brendan Loughnane,Mike Wilkinson,Blue,Lightweight,3,Switch,23.0,177.8,177.8,,25.0,170.18,172.72
3035,Nick Penner,Cody Donovan,Blue,Light Heavyweight,3,Southpaw,32.0,193.04,195.58,Orthodox,31.0,190.5,187.96
3036,Benson Henderson,Nate Diaz,Red,Lightweight,5,Southpaw,29.0,175.26,177.8,Southpaw,27.0,182.88,193.04
3037,Mauricio Rua,Alexander Gustafsson,Blue,Light Heavyweight,3,Orthodox,31.0,185.42,193.04,Orthodox,25.0,195.58,200.66
3038,BJ Penn,Rory MacDonald,Blue,Welterweight,3,Orthodox,33.0,175.26,177.8,Orthodox,23.0,182.88,193.04
3039,Mike Swick,Matt Brown,Blue,Welterweight,3,Orthodox,33.0,185.42,195.58,Orthodox,31.0,182.88,190.5
3040,Yves Edwards,Jeremy Stephens,Red,Lightweight,3,Southpaw,36.0,175.26,185.42,Orthodox,26.0,172.72,180.34
3041,Raphael Assuncao,Mike Easton,Red,Bantamweight,3,Orthodox,30.0,165.1,167.64,Southpaw,28.0,167.64,177.8
3042,Ramsey Nijem,Joe Proctor,Red,Lightweight,3,Orthodox,24.0,180.34,190.5,Orthodox,27.0,177.8,182.88
3043,Daron Cruickshank,Henry Martinez,Red,Lightweight,3,Switch,27.0,172.72,182.88,Southpaw,29.0,170.18,172.72
3044,Marcus LeVesseur,Abel Trujillo,Blue,Lightweight,3,Southpaw,30.0,175.26,177.8,Orthodox,29.0,172.72,177.8
3045,Dennis Siver,Nam Phan,Red,Featherweight,3,Orthodox,33.0,167.64,177.8,Orthodox,29.0,167.64,177.8
3046,Scott Jorgensen,John Albert,Red,Bantamweight,3,Orthodox,30.0,165.1,167.64,,26.0,172.72,172.72
3047,Georges St-Pierre,Carlos Condit,Red,Welterweight,5,Orthodox,31.0,180.34,193.04,Orthodox,28.0,187.96,190.5
3048,Johny Hendricks,Martin Kampmann,Red,Welterweight,3,Southpaw,29.0,175.26,175.26,Orthodox,30.0,182.88,182.88
3049,Francis Carmont,Tom Lawlor,Red,Middleweight,3,Orthodox,31.0,190.5,198.12,Southpaw,29.0,182.88,187.96
3050,Mark Bocek,Rafael Dos Anjos,Blue,Lightweight,3,Orthodox,31.0,172.72,190.5,Southpaw,28.0,172.72,177.8
3051,Mark Hominick,Pablo Garza,Blue,Featherweight,3,Orthodox,30.0,172.72,172.72,Orthodox,29.0,185.42,185.42
3052,Patrick Cote,Alessio Sakara,Red,Middleweight,3,Orthodox,32.0,180.34,180.34,Orthodox,31.0,182.88,182.88
3053,Cyrille Diabate,Chad Griggs,Red,Light Heavyweight,3,Southpaw,39.0,198.12,205.74,Orthodox,34.0,185.42,185.42
3054,Sam Stout,John Makdessi,Blue,Lightweight,3,Orthodox,28.0,175.26,177.8,Orthodox,27.0,172.72,172.72
3055,Antonio Carvalho,Rodrigo Damm,Red,Featherweight,3,Orthodox,33.0,175.26,172.72,Orthodox,32.0,170.18,180.34
3056,Matthew Riddle,John Maguire,Red,Welterweight,3,Southpaw,26.0,185.42,187.96,Southpaw,29.0,175.26,175.26
3057,Ivan Menjivar,Azamat Gashimov,Red,Bantamweight,3,Orthodox,30.0,167.64,162.56,Orthodox,22.0,167.64,167.64
3058,Steven Siler,Darren Elkins,Blue,Featherweight,3,Orthodox,25.0,180.34,177.8,Orthodox,28.0,177.8,180.34
3059,Rich Franklin,Cung Le,Blue,Middleweight,5,Southpaw,38.0,185.42,190.5,Southpaw,40.0,175.26,175.26
3061,Dong Hyun Kim,Paulo Thiago,Red,Welterweight,3,Southpaw,30.0,187.96,193.04,Orthodox,31.0,180.34,185.42
3062,Takanori Gomi,Mac Danzig,Red,Lightweight,3,Southpaw,34.0,170.18,177.8,Orthodox,32.0,172.72,177.8
3063,Tiequan Zhang,Jon Tuck,Blue,Lightweight,3,Orthodox,34.0,172.72,177.8,Orthodox,28.0,180.34,185.42
3064,Takeya Mizugaki,Jeff Hougland,Red,Bantamweight,3,Orthodox,28.0,170.18,172.72,Orthodox,34.0,170.18,172.72
3065,Alex Caceres,Motonobu Tezuka,Red,Bantamweight,3,Southpaw,24.0,177.8,185.42,Southpaw,25.0,170.18,167.64
3066,Yasuhiro Urushitani,John Lineker,Blue,Flyweight,3,Southpaw,36.0,165.1,,Orthodox,22.0,160.02,170.18
3067,Riki Fukuda,Tom DeBlass,Red,Middleweight,3,Southpaw,31.0,182.88,185.42,Orthodox,30.0,182.88,190.5
3068,Anderson Silva,Stephan Bonnar,Red,Light Heavyweight,3,Southpaw,37.0,187.96,195.58,Orthodox,35.0,193.04,198.12
3069,Minotauro Nogueira,Dave Herman,Red,Heavyweight,3,Orthodox,36.0,190.5,195.58,Orthodox,28.0,193.04,193.04
3070,Glover Teixeira,Fabio Maldonado,Red,Light Heavyweight,3,Orthodox,32.0,187.96,193.04,Orthodox,32.0,185.42,190.5
3071,Jon Fitch,Erick Silva,Red,Welterweight,3,Orthodox,34.0,182.88,193.04,Orthodox,28.0,182.88,187.96
3072,Phil Davis,Wagner Prado,Red,Light Heavyweight,3,Orthodox,28.0,187.96,200.66,Southpaw,25.0,182.88,187.96
3073,Demian Maia,Rick Story,Red,Welterweight,3,Southpaw,34.0,185.42,182.88,Southpaw,28.0,175.26,180.34
3074,Rony Jason,Sam Sicilia,Red,Featherweight,3,Orthodox,28.0,170.18,177.8,Orthodox,26.0,172.72,170.18
3075,Gleison Tibau,Francisco Trinaldo,Red,Lightweight,3,Southpaw,29.0,177.8,180.34,Southpaw,34.0,175.26,177.8
3076,Diego Brandao,Joey Gambino,Red,Featherweight,3,Orthodox,25.0,170.18,172.72,Orthodox,23.0,170.18,
3077,Sergio Moraes,Renee Forte,Red,Welterweight,3,Orthodox,30.0,182.88,182.88,Orthodox,25.0,170.18,180.34
3078,Luiz Cane,Chris Camozzi,Blue,Middleweight,3,Southpaw,31.0,187.96,195.58,Orthodox,25.0,187.96,193.04
3079,Cristiano Marcello,Reza Madadi,Red,Lightweight,3,Orthodox,34.0,175.26,182.88,Orthodox,34.0,180.34,182.88
3080,Travis Browne,Antonio Silva,Blue,Heavyweight,5,Orthodox,30.0,198.12,200.66,Orthodox,33.0,193.04,203.2
