,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
1187,Justine Kish,Ashley Yoder,Red,Women's Strawweight,3,Orthodox,28.0,165.1,162.56,Southpaw,29.0,170.18,175.26
1188,Randy Brown,Brian Camozzi,Red,Welterweight,3,Orthodox,26.0,190.5,198.12,Orthodox,25.0,187.96,198.12
1189,Joe Gigliotti,Gerald Meerschaert,Blue,Middleweight,3,Orthodox,23.0,180.34,175.26,Southpaw,28.0,185.42,195.58
1190,Andrew Sanchez,Trevor Smith,Red,Middleweight,3,Orthodox,28.0,185.42,187.96,Orthodox,35.0,190.5,190.5
1191,Tiago Trator,Shane Burgos,Blue,Featherweight,3,Orthodox,29.0,175.26,177.8,Orthodox,25.0,180.34,190.5
1192,Frankie Perez,Marc Diakiese,Blue,Lightweight,3,Orthodox,27.0,180.34,185.42,Orthodox,23.0,177.8,185.42
1193,Keith Berish,Ryan Janes,Blue,Middleweight,3,Orthodox,31.0,182.88,185.42,Orthodox,35.0,190.5,193.04
1194,Juliana Lima,JJ Aldrich,Red,Women's Strawweight,3,Orthodox,34.0,165.1,165.1,Southpaw,24.0,165.1,170.18
1195,Demetrious Johnson,Tim Elliott,Red,Flyweight,5,Orthodox,30.0,160.02,167.64,Southpaw,29.0,170.18,167.64
1196,Joseph Benavidez,Henry Cejudo,Red,Flyweight,3,Southpaw,32.0,162.56,165.1,Orthodox,29.0,162.56,162.56
1197,Jake Ellenberger,Jorge Masvidal,Blue,Welterweight,3,Orthodox,31.0,175.26,180.34,Orthodox,32.0,180.34,187.96
1198,Ion Cutelaba,Jared Cannonier,Blue,Light Heavyweight,3,Southpaw,22.0,185.42,190.5,Switch,32.0,180.34,195.58
1199,Sara McMann,Alexis Davis,Red,Women's Bantamweight,3,Orthodox,36.0,167.64,167.64,Orthodox,32.0,167.64,172.72
1200,Brandon Moreno,Ryan Benoit,Red,Flyweight,3,Orthodox,22.0,170.18,177.8,Orthodox,27.0,165.1,172.72
1201,Gray Maynard,Ryan Hall,Blue,Featherweight,3,Orthodox,37.0,175.26,177.8,,31.0,177.8,180.34
1202,Rob Font,Matt Schnell,Red,Bantamweight,3,Orthodox,29.0,172.72,180.34,Orthodox,26.0,172.72,177.8
1203,Dong Hyun Ma,Brendan O'Reilly,Red,Lightweight,3,Orthodox,28.0,180.34,177.8,Orthodox,29.0,170.18,175.26
1204,Kailin Curran,Jamie Moyle,Blue,Women's Strawweight,3,Orthodox,25.0,162.56,165.1,Orthodox,27.0,154.94,165.1
1205,Elvis Mutapcic,Anthony Smith,Blue,Middleweight,3,Orthodox,30.0,182.88,182.88,Orthodox,28.0,193.04,193.04
1206,Josh Stansbury,Devin Clark,Blue,Light Heavyweight,3,,32.0,187.96,187.96,Orthodox,26.0,182.88,190.5
