,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
3128,Dan Miller,Ricardo Funch,Red,Welterweight,3,30.0,185.42,187.96,31.0,177.8,193.04
3129,Ken Stone,Dustin Pague,Red,Bantamweight,3,29.0,172.72,180.34,24.0,175.26,187.96
3130,Demetrious Johnson,Ian McCall,Red,Flyweight,3,25.0,160.02,167.64,28.0,165.1,162.56
3131,Erick Silva,Charlie Brenneman,Red,Welterweight,3,27.0,182.88,187.96,31.0,177.8,182.88
3132,Mike Pyle,Josh Neer,Red,Welterweight,3,36.0,182.88,187.96,29.0,180.34,182.88
3133,Eddie Wineland,Scott Jorgensen,Red,Bantamweight,3,27.0,170.18,175.26,29.0,165.1,167.64
3134,Mike Pierce,Carlos Eduardo Rocha,Red,Welterweight,3,31.0,172.72,177.8,30.0,177.8,177.8
3135,Seth Baczynski,Lance Benoist,Red,Welterweight,3,30.0,190.5,187.96,23.0,180.34,185.42
3136,Leonard Garcia,Matt Grice,Blue,Featherweight,3,32.0,177.8,175.26,30.0,172.72,177.8
3137,Dustin Pague,Jared Papazian,Red,Bantamweight,3,24.0,175.26,187.96,24.0,172.72,170.18
3138,Tim Means,Justin Salas,Red,Lightweight,3,28.0,187.96,190.5,30.0,172.72,177.8
3139,Buddy Roberts,Caio Magalhaes,Red,Middleweight,3,29.0,187.96,182.88,24.0,185.42,185.42
3140,Henry Martinez,Bernardo Magalhaes,Red,Lightweight,3,28.0,170.18,172.72,31.0,175.26,165.1
3141,Jake Hecht,Sean Pierson,Blue,Welterweight,3,28.0,182.88,193.04,36.0,182.88,193.04
3142,Jake Ellenberger,Martin Kampmann,Blue,Welterweight,5,27.0,175.26,180.34,30.0,182.88,182.88
3143,Michael Chiesa,Al Iaquinta,Red,Lightweight,3,24.0,185.42,190.5,25.0,177.8,177.8
3144,Jonathan Brookins,Charles Oliveira,Blue,Featherweight,3,26.0,182.88,185.42,22.0,177.8,187.96
3145,Max Holloway,Pat Schilling,Red,Featherweight,3,20.0,180.34,175.26,23.0,172.72,175.26
3146,Justin Lawrence,John Cofer,Red,Lightweight,3,22.0,172.72,170.18,28.0,175.26,185.42
3147,Daron Cruickshank,Chris Tickle,Red,Lightweight,3,26.0,172.72,182.88,30.0,175.26,182.88
3148,Myles Jury,Chris Saunders,Red,Lightweight,3,23.0,177.8,185.42,26.0,172.72,182.88
3149,Cristiano Marcello,Sam Sicilia,Blue,Lightweight,3,34.0,175.26,182.88,26.0,172.72,170.18
3150,Joe Proctor,Jeremy Larsen,Red,Lightweight,3,26.0,177.8,182.88,28.0,177.8,177.8
3151,John Albert,Erik Perez,Blue,Bantamweight,3,25.0,172.72,172.72,22.0,172.72,172.72
3152,Junior Dos Santos,Frank Mir,Red,Heavyweight,5,28.0,193.04,195.58,33.0,190.5,200.66
3153,Cain Velasquez,Antonio Silva,Red,Heavyweight,3,29.0,185.42,195.58,32.0,193.04,203.2
3154,Roy Nelson,Dave Herman,Red,Heavyweight,3,35.0,182.88,182.88,27.0,193.04,193.04
3155,Stipe Miocic,Shane del Rosario,Red,Heavyweight,3,29.0,193.04,203.2,28.0,193.04,200.66
3156,Stefan Struve,Lavar Johnson,Red,Heavyweight,3,24.0,210.82,213.36,34.0,193.04,208.28
