,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
2614,Sean Spencer,Drew Dober,Red,Welterweight,3,26.0,177.8,190.5,25.0,172.72,177.8
2615,Joshua Sampo,Ryan Benoit,Red,Flyweight,3,29.0,162.56,162.56,24.0,165.1,172.72
2616,Georges St-Pierre,Johny Hendricks,Red,Welterweight,5,32.0,180.34,193.04,30.0,175.26,175.26
2617,Rashad Evans,Chael Sonnen,Red,Light Heavyweight,3,34.0,182.88,190.5,36.0,185.42,187.96
2621,Donald Cerrone,Evan Dunham,Red,Lightweight,3,30.0,185.42,185.42,31.0,177.8,177.8
2624,Erik Perez,Edwin Figueroa,Red,Bantamweight,3,23.0,172.72,172.72,29.0,170.18,175.26
2625,Jason High,Anthony Lapsley,Red,Welterweight,3,32.0,172.72,180.34,33.0,175.26,180.34
2628,Vitor Belfort,Dan Henderson,Red,Light Heavyweight,5,36.0,182.88,187.96,43.0,180.34,187.96
2629,Cezar Ferreira,Daniel Sarafian,Red,Middleweight,3,28.0,185.42,198.12,31.0,175.26,185.42
2630,Rafael Feijao,Igor Pokrajac,Red,Light Heavyweight,3,33.0,185.42,185.42,34.0,182.88,193.04
2636,Thiago Tavares,Justin Salas,Red,Lightweight,3,29.0,170.18,172.72,31.0,172.72,177.8
2637,Adriano Martins,Daron Cruickshank,Red,Lightweight,3,30.0,177.8,182.88,28.0,172.72,182.88
2639,Tim Kennedy,Rafael Natal,Red,Middleweight,5,34.0,180.34,187.96,30.0,182.88,193.04
2644,Bobby Green,James Krause,Red,Lightweight,3,27.0,177.8,180.34,27.0,187.96,185.42
2646,Dennis Bermudez,Steven Siler,Red,Featherweight,3,26.0,167.64,167.64,26.0,180.34,177.8
2647,Amanda Nunes,Germaine de Randamie,Red,Women's Bantamweight,3,25.0,172.72,175.26,29.0,175.26,180.34
2650,Derek Brunson,Brian Houston,Red,Middleweight,3,29.0,185.42,195.58,32.0,187.96,198.12
