,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
2477,Francimar Barroso,Hans Stringer,Blue,Light Heavyweight,3,34.0,185.42,190.5,26.0,190.5,185.42
2480,Carlos Condit,Tyron Woodley,Blue,Welterweight,3,29.0,187.96,190.5,31.0,175.26,187.96
2481,Diego Sanchez,Myles Jury,Blue,Lightweight,3,32.0,177.8,182.88,25.0,177.8,185.42
2482,Jake Shields,Hector Lombard,Blue,Welterweight,3,35.0,182.88,182.88,36.0,175.26,180.34
2485,Raquel Pennington,Jessica Andrade,Blue,Women's Bantamweight,3,25.0,170.18,170.18,22.0,154.94,157.48
2487,Sean Spencer,Alex Garcia,Blue,Welterweight,3,26.0,177.8,190.5,26.0,175.26,182.88
2488,Renee Forte,Francisco Trevino,Blue,Lightweight,3,26.0,170.18,180.34,32.0,175.26,177.8
2489,Will Campuzano,Justin Scoggins,Blue,Flyweight,3,27.0,175.26,177.8,21.0,170.18,167.64
2490,Bubba McDaniel,Sean Strickland,Blue,Middleweight,3,30.0,190.5,190.5,23.0,185.42,193.04
2491,Daniel Pineda,Rob Whiteford,Blue,Featherweight,3,28.0,170.18,175.26,30.0,175.26,175.26
2496,Cyrille Diabate,Ilir Latifi,Blue,Light Heavyweight,3,40.0,198.12,205.74,30.0,177.8,185.42
2498,Bradley Scott,Claudio Silva,Blue,Middleweight,3,24.0,185.42,193.04,31.0,180.34,180.34
2501,Sai Wang,Zhang Lipeng,Blue,Welterweight,3,28.0,182.88,182.88,23.0,180.34,180.34
2504,Kazuki Tokudome,Yui Chul Nam,Blue,Lightweight,3,26.0,180.34,185.42,32.0,175.26,175.26
2505,Nam Phan,Vaughan Lee,Blue,Bantamweight,3,30.0,167.64,177.8,31.0,167.64,167.64
2506,Albert Cheng,An Ying Wang,Blue,Welterweight,3,29.0,180.34,182.88,22.0,182.88,182.88
2507,Jumabieke Tuerxun,Mark Eddiva,Blue,Featherweight,3,27.0,170.18,170.18,28.0,172.72,172.72
2512,Robert Whittaker,Stephen Thompson,Blue,Welterweight,3,23.0,182.88,185.42,31.0,182.88,190.5
2515,Cody Gibson,Aljamain Sterling,Blue,Bantamweight,3,26.0,177.8,180.34,24.0,170.18,180.34
2517,Rafaello Oliveira,Erik Koch,Blue,Lightweight,3,32.0,172.72,180.34,25.0,177.8,180.34
2522,Viscardi Andrade,Nico Musoke,Blue,Welterweight,3,29.0,180.34,190.5,27.0,182.88,190.5
2524,Cristiano Marcello,Joe Proctor,Blue,Lightweight,3,36.0,175.26,182.88,28.0,177.8,182.88
2530,Douglas Silva de Andrade,Zubaira Tukhugov,Blue,Featherweight,3,28.0,170.18,172.72,23.0,172.72,172.72
2533,Frank Mir,Alistair Overeem,Blue,Heavyweight,3,34.0,190.5,200.66,33.0,193.04,203.2
2534,John Lineker,Ali Bagautinov,Blue,Flyweight,3,23.0,160.02,170.18,28.0,162.56,165.1
2535,Jamie Varner,Abel Trujillo,Blue,Lightweight,3,29.0,172.72,182.88,30.0,172.72,177.8
2536,John Makdessi,Alan Patrick,Blue,Lightweight,3,28.0,172.72,172.72,30.0,180.34,187.96
2541,Anthony Rocco Martin,Rashid Magomedov,Blue,Lightweight,3,24.0,182.88,185.42,29.0,175.26,177.8
2546,Darren Elkins,Jeremy Stephens,Blue,Featherweight,3,29.0,177.8,180.34,27.0,172.72,180.34
2549,Junior Hernandez,Hugo Viana,Blue,Bantamweight,3,27.0,175.26,175.26,31.0,167.64,170.18
2552,Walt Harris,Nikita Krylov,Blue,Heavyweight,3,30.0,195.58,195.58,21.0,190.5,195.58
2554,Lorenz Larkin,Brad Tavares,Blue,Middleweight,3,27.0,180.34,182.88,26.0,185.42,187.96
2560,Isaac Vallie-Flagg,Elias Silverio,Blue,Lightweight,3,35.0,172.72,172.72,27.0,180.34,185.42
2562,Alptekin Ozkilic,Louis Smolka,Blue,Flyweight,3,27.0,165.1,165.1,22.0,175.26,172.72
2564,Charlie Brenneman,Beneil Dariush,Blue,Lightweight,3,32.0,177.8,182.88,24.0,177.8,182.88
2574,Leandro Issa,Russell Doane,Blue,Bantamweight,3,30.0,170.18,175.26,27.0,170.18,177.8
2577,Josh Barnett,Travis Browne,Blue,Heavyweight,3,36.0,190.5,198.12,31.0,198.12,200.66
2580,Chris Leben,Uriah Hall,Blue,Middleweight,3,33.0,180.34,187.96,29.0,182.88,200.66
2581,Gleison Tibau,Michael Johnson,Blue,Lightweight,3,30.0,177.8,180.34,27.0,177.8,185.42
2589,Court McGee,Ryan LaFlare,Blue,Welterweight,3,29.0,180.34,190.5,30.0,185.42,187.96
2590,Danny Castillo,Edson Barboza,Blue,Lightweight,3,34.0,175.26,180.34,27.0,180.34,190.5
2592,Scott Jorgensen,Zach Makovsky,Blue,Flyweight,3,31.0,165.1,167.64,30.0,162.56,162.56
2595,Darren Uyenoyama,Alptekin Ozkilic,Blue,Flyweight,3,34.0,167.64,162.56,27.0,165.1,165.1
2598,Pat Barry,Soa Palelei,Blue,Heavyweight,3,34.0,180.34,187.96,36.0,193.04,205.74
2599,Dylan Andrews,Clint Hester,Blue,Middleweight,3,34.0,185.42,185.42,27.0,187.96,195.58
2600,Julie Kedzie,Bethe Correia,Blue,Women's Bantamweight,3,32.0,165.1,162.56,30.0,165.1,162.56
2602,Nick Ring,Caio Magalhaes,Blue,Middleweight,3,34.0,182.88,187.96,25.0,185.42,185.42
2603,Richie Vaculik,Justin Scoggins,Blue,Flyweight,3,30.0,167.64,175.26,21.0,170.18,167.64
2604,Bruno Santos,Krzysztof Jotko,Blue,Middleweight,3,26.0,175.26,175.26,24.0,185.42,195.58
2605,Ben Wall,Alex Garcia,Blue,Welterweight,3,24.0,177.8,185.42,26.0,175.26,182.88
2606,Gray Maynard,Nate Diaz,Blue,Lightweight,3,34.0,175.26,177.8,28.0,182.88,193.04
2610,Roxanne Modafferi,Raquel Pennington,Blue,Women's Bantamweight,3,31.0,170.18,175.26,25.0,170.18,170.18
2612,Rani Yahya,Tom Niinimaki,Blue,Featherweight,3,29.0,167.64,170.18,31.0,175.26,175.26
2618,Rory MacDonald,Robbie Lawler,Blue,Welterweight,3,24.0,182.88,193.04,31.0,180.34,187.96
2619,Josh Koscheck,Tyron Woodley,Blue,Welterweight,3,35.0,177.8,185.42,31.0,175.26,187.96
2620,Tim Elliott,Ali Bagautinov,Blue,Flyweight,3,26.0,170.18,167.64,28.0,162.56,165.1
2622,Ed Herman,Thales Leites,Blue,Middleweight,3,33.0,185.42,195.58,32.0,185.42,198.12
2623,Brian Ebersole,Rick Story,Blue,Welterweight,3,32.0,182.88,185.42,29.0,175.26,180.34
2626,Will Campuzano,Sergio Pettis,Blue,Bantamweight,3,27.0,175.26,177.8,20.0,167.64,175.26
2627,Cody Donovan,Gian Villante,Blue,Light Heavyweight,3,32.0,190.5,187.96,28.0,190.5,193.04
2631,Paulo Thiago,Brandon Thatch,Blue,Welterweight,3,32.0,180.34,185.42,28.0,187.96,187.96
2632,Santiago Ponzinibbio,Ryan LaFlare,Blue,Welterweight,3,27.0,182.88,185.42,30.0,185.42,187.96
2633,Rony Jason,Jeremy Stephens,Blue,Featherweight,3,29.0,170.18,177.8,27.0,172.72,180.34
2634,Godofredo Pepey,Sam Sicilia,Blue,Featherweight,3,26.0,170.18,185.42,27.0,172.72,170.18
2635,Thiago Perpetuo,Omari Akhmedov,Blue,Middleweight,3,25.0,177.8,180.34,26.0,182.88,185.42
2638,Jose Maria,Dustin Ortiz,Blue,Flyweight,3,31.0,165.1,182.88,24.0,165.1,165.1
2640,Liz Carmouche,Alexis Davis,Blue,Women's Bantamweight,3,29.0,167.64,167.64,29.0,167.64,172.72
2641,Ronny Markes,Yoel Romero,Blue,Middleweight,3,25.0,185.42,190.5,36.0,182.88,185.42
2642,Jorge Masvidal,Rustam Khabilov,Blue,Lightweight,3,28.0,180.34,187.96,27.0,172.72,185.42
2643,Colton Smith,Michael Chiesa,Blue,Lightweight,3,26.0,182.88,180.34,25.0,185.42,190.5
2645,George Roop,Francisco Rivera,Blue,Bantamweight,3,31.0,185.42,182.88,32.0,172.72,172.72
2648,Chris Camozzi,Lorenz Larkin,Blue,Middleweight,3,26.0,187.96,193.04,27.0,180.34,182.88
2649,Neil Magny,Seth Baczynski,Blue,Welterweight,3,26.0,190.5,203.2,32.0,190.5,187.96
2654,Alessio Sakara,Nico Musoke,Blue,Middleweight,3,32.0,182.88,182.88,27.0,182.88,190.5
2655,Phil Harris,John Lineker,Blue,Flyweight,3,30.0,162.56,162.56,23.0,160.02,170.18
2658,Rosi Sexton,Jessica Andrade,Blue,Women's Bantamweight,3,36.0,160.02,160.02,22.0,154.94,157.48
2659,Andy Ogle,Cole Miller,Blue,Featherweight,3,24.0,172.72,175.26,29.0,185.42,187.96
2668,Nate Marquardt,Hector Lombard,Blue,Welterweight,3,34.0,182.88,187.96,35.0,175.26,180.34
2669,George Sotiropoulos,KJ Noons,Blue,Lightweight,3,36.0,177.8,180.34,30.0,177.8,182.88
2670,TJ Waldburger,Adlan Amagov,Blue,Welterweight,3,25.0,180.34,190.5,26.0,187.96,193.04
2672,Jeremy Larsen,Andre Fili,Blue,Featherweight,3,29.0,177.8,177.8,23.0,180.34,187.96
2673,Dustin Pague,Kyoji Horiguchi,Blue,Bantamweight,3,26.0,175.26,187.96,23.0,165.1,167.64
2674,Demian Maia,Jake Shields,Blue,Welterweight,5,35.0,185.42,182.88,34.0,182.88,182.88
2675,Erick Silva,Dong Hyun Kim,Blue,Welterweight,3,29.0,182.88,187.96,31.0,187.96,193.04
2680,Ildemar Alcantara,Igor Araujo,Blue,Welterweight,3,30.0,187.96,198.12,32.0,185.42,195.58
2682,Iliarde Santos,Chris Cariaso,Blue,Flyweight,3,33.0,165.1,167.64,32.0,160.02,160.02
2687,Costas Philippou,Francis Carmont,Blue,Middleweight,3,33.0,180.34,185.42,31.0,190.5,198.12
2688,Pat Healy,Khabib Nurmagomedov,Blue,Lightweight,3,30.0,182.88,187.96,25.0,177.8,177.8
2689,Mike Ricci,Myles Jury,Blue,Lightweight,3,27.0,182.88,195.58,24.0,177.8,185.42
2690,Ivan Menjivar,Wilson Reis,Blue,Bantamweight,3,31.0,167.64,162.56,28.0,162.56,165.1
2691,Chris Clements,Stephen Thompson,Blue,Welterweight,3,37.0,177.8,177.8,30.0,182.88,190.5
2695,Roland Delorme,Alex Caceres,Blue,Bantamweight,3,29.0,175.26,180.34,25.0,177.8,185.42
2696,Nandor Guelmino,Daniel Omielanczuk,Blue,Heavyweight,3,37.0,190.5,193.04,31.0,182.88,187.96
2698,Yushin Okami,Jacare Souza,Blue,Middleweight,3,32.0,187.96,190.5,33.0,185.42,182.88
2700,Francisco Trinaldo,Piotr Hallmann,Blue,Lightweight,3,35.0,175.26,177.8,26.0,175.26,180.34
2702,Marcos Vinicius,Ali Bagautinov,Blue,Flyweight,3,33.0,175.26,177.8,28.0,162.56,165.1
2703,Felipe Arantes,Kevin Souza,Blue,Featherweight,3,25.0,172.72,185.42,28.0,182.88,187.96
2705,Joao Zeferino,Elias Silverio,Blue,Welterweight,3,27.0,180.34,185.42,26.0,180.34,185.42
2706,Keith Wisniewski,Ivan Jorge,Blue,Welterweight,3,31.0,182.88,190.5,32.0,175.26,185.42
2707,Yuri Villefort,Sean Spencer,Blue,Welterweight,3,22.0,182.88,185.42,26.0,177.8,190.5
2708,Benson Henderson,Anthony Pettis,Blue,Lightweight,5,29.0,175.26,177.8,26.0,177.8,182.88
2709,Frank Mir,Josh Barnett,Blue,Heavyweight,3,34.0,190.5,200.66,35.0,190.5,198.12
